;group1;group2;group3;x1;x2;x3;x4;c1;c2;c3;c4;y1;y2;y3;y4
1;middle;female;C;1.166165017;-0.363378442;-0.998999191;-0.29290911;0.736288734;0.171373601;0.243891947;1.173970119;-0.838962301;-1.153394491;-0.209113152;-0.101354476
2;middle;male;B;0.764812527;0.034901949;0.128962996;-0.155395076;-0.720312781;0.016514931;-0.770872256;0.00271097;-1.194422623;-1.407084411;0.176058704;-0.089085086
3;old;female;A;-2.32781072;-0.997860054;-1.111672382;-1.272987825;0.103629375;-2.895791966;-6.950502497;0.115135961;-1.63184657;0.466207982;-1.076647354;-0.27064865
4;old;female;B;-0.507299746;-0.970044715;-0.086704809;-0.97830572;1.786656084;-0.137695982;-0.430722557;0.848562925;0.20794834;0.174218254;-0.378055851;0.734154555
5;old;male;A;-0.999034665;0.546291834;0.900829782;2.568429162;-0.244634028;2.020929283;2.832786181;-1.407195776;-1.068890918;2.890714144;-0.35389962;-0.202672874
6;middle;male;A;-0.177259179;-1.370016308;0.094706571;-2.527003816;0.315159534;-0.687810389;-1.329592806;0.851137153;0.294888672;2.048364447;0.731675058;0.397389097
7;middle;male;C;-0.599943732;1.522460914;0.992995779;1.655946862;1.094218148;-1.196103714;-2.400497815;0.407993911;-1.169172007;0.491254971;0.15968433;-2.221544908
8;young;female;B;0.07221875;-0.565346765;-0.145824243;-0.416956049;-0.381315892;-0.719941711;-1.729266119;-1.649941614;-0.501241883;2.16708942;-0.347423223;1.314246072
9;old;female;C;-1.784822161;-3.423944979;-3.237098924;-5.069523484;-2.597525817;0.524940472;-0.155179324;0.452367014;-6.392534577;-1.050150854;0.173141802;-0.857699155
10;middle;male;A;0.30711027;-0.564641312;-1.073825048;-0.85601228;-0.074785694;-0.131929587;1.747363883;-0.305002514;-0.235248265;0.934516166;-0.937018933;2.146228372
11;middle;female;C;1.51559914;3.919333435;0.80519984;4.02707933;1.752325726;-1.504300667;-0.881651127;0.496934602;-0.137613654;-0.18981795;-0.587318972;-1.761293869
12;old;female;B;1.879859249;0.5709043;0.525339567;-0.722637034;1.40467152;-0.966211064;-1.379068089;1.438797774;-0.37144239;0.588174209;1.157297874;-0.515896224
13;young;female;A;-0.405041606;-0.857239308;-0.389253889;0.861090621;-0.112064294;0.747132684;2.147060774;0.193796656;-0.372304309;1.244564162;-0.253195571;2.026917292
14;old;male;B;-1.11380683;-2.135912066;-0.196813068;-2.626272486;-1.408904312;-0.55701715;-2.077909675;0.520144191;-2.802722756;0.19779349;-0.166307637;-0.166028214
15;young;male;C;-0.730520399;-0.420497476;-1.407569762;-1.322969847;0.290800704;-1.273918566;-1.608330799;-0.547903944;-2.701781685;0.09867069;-0.484169931;-0.915666001
16;young;female;A;-0.802411879;-2.101620921;-1.352902141;-1.155120191;-1.716161829;0.967635354;-0.812802612;-1.116073406;-2.648370335;1.997816656;0.559434975;0.796233041
17;middle;female;C;0.422357905;1.003321673;1.408090665;-0.282706277;0.367030446;-1.840223156;-2.492019753;-0.456902496;0.826505909;0.274912063;0.833304687;0.224004842
